"participant","stimulus_audio","length_audio","stimulus_picture","response_time","accuracy","accuracy_num","condition","congruency","category"
"1419","schlafanzug_word",940,"Pullover",2487,"incorrect","0","WPM","incongruent","Kleidung"
"1419","saege_incorrect",1240,"Saege",1326,"correct","1","FPM","incongruent","Werkzeug"
"1419","schrank_word",1210,"Sessel",877,"correct","1","WPM","incongruent","Moebel"
"1419","schal_incorrect",1280,"Schal",1176,"correct","1","FPM","incongruent","Kleidung"
"1419","seehund_word",1180,"Seehund",904,"correct","1","WPM","congruent","Saeugetiere"
"1419","spargel_word",1210,"Spargel",845,"correct","1","WPM","congruent","Gemuese"
"1419","brokkoli_correct",1210,"Brokkoli",1365,"incorrect","0","FPM","congruent","Gemuese"
"1419","wellensittich_incorrect",1130,"Wellensittich",948,"correct","1","FPM","incongruent","Voegel"
"1419","regal_correct",1450,"Regal",1266,"correct","1","FPM","congruent","Moebel"
"1419","lama_correct",1130,"Lama",1722,"incorrect","0","FPM","congruent","Saeugetiere"
"1419","hut_word",1240,"Hut",614,"correct","1","WPM","congruent","Kleidung"
"1419","moehre_word",940,"Moehre",1430,"correct","1","WPM","congruent","Gemuese"
"1419","handschuh_word",1460,"Mantel",1363,"correct","1","WPM","incongruent","Kleidung"
"1419","kutsche_correct",1180,"Kutsche",673,"correct","1","FPM","congruent","Fortbewegungsmittel"
"1419","kamel_word",1510,"Biber",1245,"correct","1","WPM","incongruent","Saeugetiere"
"1419","elster_word",1190,"Elster",2190,"correct","1","WPM","congruent","Voegel"
"1419","kleid_incorrect",1320,"Kleid",702,"correct","1","FPM","incongruent","Kleidung"
"1419","kommode_word",1370,"Bank",1053,"correct","1","WPM","incongruent","Moebel"
"1419","schaukelstuhl_word",1180,"Schaukelstuhl",723,"correct","1","WPM","congruent","Moebel"
"1419","schlafanzug_correct",1420,"Schlafanzug",1703,"incorrect","0","FPM","congruent","Kleidung"
"1419","meise_word",1120,"Moewe",2078,"correct","1","WPM","incongruent","Voegel"
"1419","radieschen_correct",890,"Radieschen",1351,"correct","1","FPM","congruent","Gemuese"
"1419","sichel_word",1300,"Walze",1014,"correct","1","WPM","incongruent","Werkzeug"
"1419","gans_incorrect",1150,"Gans",1173,"correct","1","FPM","incongruent","Voegel"
"1419","bank_correct",1210,"Bank",1228,"correct","1","FPM","congruent","Moebel"
"1419","maurerkelle_incorrect",1190,"Maurerkelle",990,"correct","1","FPM","incongruent","Werkzeug"
"1419","traktor_word",1190,"Schiff",817,"correct","1","WPM","incongruent","Fortbewegungsmittel"
"1419","schraubenzieher_correct",1270,"Schraubenzieher",710,"incorrect","0","FPM","congruent","Werkzeug"
"1419","sellerie_word",1510,"Weisskohl",994,"correct","1","WPM","incongruent","Gemuese"
"1419","pullover_correct",1280,"Pullover",990,"correct","1","FPM","congruent","Kleidung"
"1419","wal_incorrect",1240,"Wal",625,"correct","1","FPM","incongruent","Saeugetiere"
"1419","ananas_word",1170,"Dattel",805,"correct","1","WPM","incongruent","Fruechte"
"1419","kokosnuss_word",940,"Weintraube",831,"correct","1","WPM","incongruent","Fruechte"
"1419","zwiebel_word",1430,"Zwiebel",1048,"correct","1","WPM","congruent","Gemuese"
"1419","hose_word",1100,"Bluse",853,"correct","1","WPM","incongruent","Kleidung"
"1419","radieschen_word",1200,"Kuerbis",899,"correct","1","WPM","incongruent","Gemuese"
"1419","tisch_word",1350,"Tisch",840,"correct","1","WPM","congruent","Moebel"
"1419","kuerbis_word",1590,"Radieschen",1204,"correct","1","WPM","incongruent","Gemuese"
"1419","moewe_correct",1410,"Moewe",1343,"incorrect","0","FPM","congruent","Voegel"
"1419","reiher_incorrect",1170,"Reiher",2584,"incorrect","0","FPM","incongruent","Voegel"
"1419","hobel_correct",1370,"Hobel",1186,"incorrect","0","FPM","congruent","Werkzeug"
"1419","schraubenzieher_word",1090,"Schleifpapier",972,"correct","1","WPM","incongruent","Werkzeug"
"1419","kiwi_word",1430,"Kiwi",2252,"correct","1","WPM","congruent","Fruechte"
"1419","mantel_word",1440,"Handschuh",615,"correct","1","WPM","incongruent","Kleidung"
"1419","rollschuh_word",1160,"Rollschuh",1575,"correct","1","WPM","congruent","Fortbewegungsmittel"
"1419","bueffel_word",1350,"Tiger",846,"correct","1","WPM","incongruent","Saeugetiere"
"1419","baer_word",1230,"Lama",781,"correct","1","WPM","incongruent","Saeugetiere"
"1419","geier_word",1050,"Spatz",1150,"correct","1","WPM","incongruent","Voegel"
