"","participant","id","TargetLooks","SEG3_onset","type","condition","exp"
"1","M1","19",1,-874,"SAME","Opaque","exp"
"2","M1","19",1,-854,"SAME","Opaque","exp"
"3","M1","19",1,-834,"SAME","Opaque","exp"
"4","M1","19",1,-814,"SAME","Opaque","exp"
"5","M1","19",1,-794,"SAME","Opaque","exp"
"6","M1","19",1,-774,"SAME","Opaque","exp"
"7","M1","19",1,-754,"SAME","Opaque","exp"
"8","M1","19",1,-734,"SAME","Opaque","exp"
"9","M1","19",1,-714,"SAME","Opaque","exp"
"10","M1","19",1,-694,"SAME","Opaque","exp"
"11","M1","19",1,-674,"SAME","Opaque","exp"
"12","M1","19",1,-654,"SAME","Opaque","exp"
"13","M1","19",1,-634,"SAME","Opaque","exp"
"14","M1","19",1,-614,"SAME","Opaque","exp"
"15","M1","19",1,-594,"SAME","Opaque","exp"
"16","M1","19",1,-574,"SAME","Opaque","exp"
"17","M1","19",1,-554,"SAME","Opaque","exp"
"18","M1","19",1,-534,"SAME","Opaque","exp"
"19","M1","19",1,-514,"SAME","Opaque","exp"
"20","M1","19",1,-494,"SAME","Opaque","exp"
"21","M1","19",1,-474,"SAME","Opaque","exp"
"22","M1","19",1,-454,"SAME","Opaque","exp"
"23","M1","19",1,-434,"SAME","Opaque","exp"
"24","M1","19",1,-414,"SAME","Opaque","exp"
"25","M1","19",1,-394,"SAME","Opaque","exp"
"26","M1","19",1,-374,"SAME","Opaque","exp"
"27","M1","19",1,-354,"SAME","Opaque","exp"
"28","M1","19",1,-334,"SAME","Opaque","exp"
"29","M1","19",1,-314,"SAME","Opaque","exp"
"30","M1","19",1,-294,"SAME","Opaque","exp"
"31","M1","19",1,-274,"SAME","Opaque","exp"
"32","M1","19",1,-254,"SAME","Opaque","exp"
"33","M1","19",1,-234,"SAME","Opaque","exp"
"34","M1","19",1,-214,"SAME","Opaque","exp"
"35","M1","19",1,-194,"SAME","Opaque","exp"
"36","M1","19",1,-174,"SAME","Opaque","exp"
"37","M1","19",1,-154,"SAME","Opaque","exp"
"38","M1","19",1,-134,"SAME","Opaque","exp"
"39","M1","19",1,-114,"SAME","Opaque","exp"
"40","M1","19",1,-94,"SAME","Opaque","exp"
"41","M1","19",1,-74,"SAME","Opaque","exp"
"42","M1","19",1,-54,"SAME","Opaque","exp"
"43","M1","19",1,-34,"SAME","Opaque","exp"
"44","M1","19",1,-14,"SAME","Opaque","exp"
"45","M1","19",1,6,"SAME","Opaque","exp"
"46","M1","19",1,26,"SAME","Opaque","exp"
"47","M1","19",1,46,"SAME","Opaque","exp"
"48","M1","19",1,66,"SAME","Opaque","exp"
"49","M1","19",1,86,"SAME","Opaque","exp"
"50","M1","19",1,106,"SAME","Opaque","exp"
"51","M1","19",0.8,126,"SAME","Opaque","exp"
"52","M1","19",0,146,"SAME","Opaque","exp"
"53","M1","19",0,166,"SAME","Opaque","exp"
"54","M1","19",0,186,"SAME","Opaque","exp"
"55","M1","19",0,206,"SAME","Opaque","exp"
"56","M1","19",0,226,"SAME","Opaque","exp"
"57","M1","19",0,246,"SAME","Opaque","exp"
"58","M1","19",0,266,"SAME","Opaque","exp"
"59","M1","19",0,286,"SAME","Opaque","exp"
"60","M1","19",0,306,"SAME","Opaque","exp"
"61","M1","19",0,326,"SAME","Opaque","exp"
"62","M1","19",0,346,"SAME","Opaque","exp"
"63","M1","19",0,366,"SAME","Opaque","exp"
"64","M1","19",0,386,"SAME","Opaque","exp"
"65","M1","19",0,406,"SAME","Opaque","exp"
"66","M1","19",0,426,"SAME","Opaque","exp"
"67","M1","19",0,446,"SAME","Opaque","exp"
"68","M1","19",0,466,"SAME","Opaque","exp"
"69","M1","19",0,486,"SAME","Opaque","exp"
"70","M1","19",0,506,"SAME","Opaque","exp"
"71","M1","19",0,526,"SAME","Opaque","exp"
"72","M1","5",0,-875,"DIFF","Transp","exp"
"73","M1","5",0,-855,"DIFF","Transp","exp"
"74","M1","5",0,-835,"DIFF","Transp","exp"
"75","M1","5",0,-815,"DIFF","Transp","exp"
"76","M1","5",0,-795,"DIFF","Transp","exp"
"77","M1","5",0,-775,"DIFF","Transp","exp"
"78","M1","5",0,-755,"DIFF","Transp","exp"
"79","M1","5",0,-735,"DIFF","Transp","exp"
